id;account_number;name;ifsc_code;bank_name
1;monitor;Steel;Digitized multi-byte;bypass
2;Rubber;Tennessee;Movies;Home Cotton Aruban
3;Computers Ethiopian monitor;Franc Spurs;payment;Uzbekistan
4;Intranet;withdrawal HTTP Electronics;transform indexing Optional;Solutions Group
5;pixel Glens;Soap;paradigms capacitor;Green
6;Krone Health;Village Generic;Trafficway capacitor Nevada;Tasty
7;web-enabled e-markets Small;up;ROI Paradigm Colombia;Rubber Mauritania neural
8;Pines Barbados;e-markets synthesize backing;Egypt Managed invoice;optimize
9;Cambridgeshire;Rubber;Oregon Architect;next-generation copying
10;Georgia Towels New;Shoes;Integration front-end International;olive dedicated
